5-hiaa	acide 5-hydroxyindolacétique
rb	rétinopathie diabétique 
rbp	rétinopathie diabétique proliférante
rbpp	rétinopathie diabétique pré-proliférante 
rbnp	rétinopathie diabétique non proliférante
rca	réflexe cutané abdominal
rcf	rythme cardiaque fœtal
rch	recto-colite hémorragique
rciu	retard de croissance intra-utérin
rcp	réanimation cardio-pulmonaire
rcr	réanimation cardio-respiratoire
rcr	rythme cardiaque régulier
rcuh	recto-colique ulcéro-hémorragique
rds	revue des systèmes
rev	résection endoscopique de vessie
rgo	reflux gastro-œsophagien
rh	rhésus
rhd	règles hygiéno-diététiques
rhj	reflux hépato-jugulaire
ric	rhumatismes chroniques inflammatoires
riva	rythme idioventriculaire accéléré
rm	rétrécissement mitral
rmn	résonance magnétique nucléaire
rmo	référence médicale opposable
r/o	rollout 
rofi	réduction ouverte avec fixation interne
roh	alcool
ror	rougeole-oreillons-rubéole
rot	réflexe ostéo-tendineux
rp	radiographie pulmonaire
rpm	rupture prématurée des membranes
rrs	rythme régulier sinusal
rpt	résistance pulmonaire totale
rptg	reprise de prothèse totale du genou
rpth	reprise de prothèse totale de hanche
rr	risque relatif
rtpa	activateur tissulaire du plasminogène 
rtup	résection trans-urétrale de la prostate
rtuv	résection trans-urétrale des tumeurs de vessie
ru	révision utérine
rva	remplacement de la valve aortique
rvg	artère retro-ventriculaire gauche
rvpa	retour veineux pulmonaire anormal
rvs	résistance vasculaire systémique
rvu	reflux vésico-urétéral
rx ou ?	prescription
rx	radiographie
rxt	radiographie de thorax
rt	transcription inverse
sa	semaines aménorrhée
sad	sonde à demeure
saf	syndrome de l’alcoolisation fœtale
sahs	syndrome d’apnées/hypopnée du sommeil
sam	syndrome d’activation macrophagique
samu	service d’aide médicale urgente
sao2	saturation artérielle en oxygène
saos	syndrome des apnées obstructives du sommeil
sapl	syndrome des anti phospholipides
sar	sténose de l’artère rénale
sarm	staphylococcus aureus résistant à la méticilline
sasm	staphylococcus aureus sensible à la méticilline
sas	syndrome d’apnées du sommeil
sas	sténose aortique serré
sat	sérologie antitétanique
sau	service d’accueil des urgences
sbi	syndrome biologique inflammatoire
sc	sous-cutanée
sca	syndrome coronarien aigu 
scb	surface corporelle brûlée
sci	syndrome du côlon irritable
scid	déficit immunitaire combiné sévère
scm	sterno-cléido-mastoïdien
scn	staphylocoque à coagulase négative
scs	syndrome de churg-strauss
sdhea	sulfate de déhydroépiandrostérone 
sdl	signe de lutte
sdmv	syndrome de défaillance multiviscérale
sdn	salle de naissance
sdra	syndrome de détresse respiratoire aiguë 
sees	sonde entraînement électro-systolique
sep	sclérose en plaques
serm	modulateurs sélectifs des récepteurs aux œstrogènes
sf	sage-femme
sfa	souffrance fœtale aiguë
sfu	signes fonctionnels urinaires
sgb	syndrome de guillain-barré
sgb	streptocoque du groupe b
sha	solution hydro-alcoolique
shu	syndrome hémolytique et urémique
siadh	syndrome de sécrétion inappropriée hormone antidiurétique
sid	une fois par jour
sida	syndrome d’immunodéficience acquise
sih	système d’information hospitalier
sir	système d’information de radiologie
siv	septum interventriculaire
sla	sclérose latérale amyotrophique
sld	soins de longue durée
slg	syndrome de lennox-gastaut
sma	service médical d’accueil
smd	syndrome myélodysplasique
smg	splénomégalie
stat	immédiatement
smr	service médical rendu
smur	service médical urgence et de réanimation
smr	service médical rendu
sna	système nerveux autonome
snc	système nerveux central
sng	sonde nasogastrique
snp	système nerveux périphérique
sopk	syndrome des ovaires polykystiques
saos	syndrome d’apnées obstructives du sommeil
sor	surface de l’orifice régurgitant
spa	spondylarthrite ankylosante
spe	sciatique poplité externe
spi	sciatique poplité interne
spupd	syndrome polyuropolydipsique
sraa	système rénine-angiotensine-aldostérone
sras	syndrome respiratoire aigu sévère
sris	syndrome de réponse inflammatoire systémique
ssi	sérum salé isotonique
sspi	salle de surveillance post-interventionnelle
sspo	salle de surveillance post-opératoire
ssr	soins de suite et de réadaptation
sti vd	stimulation ventriculaire droite programmée
sv	sonde vésicale
svcr	syndrome de vasoconstriction cérébrale réversible
t3	triiodothyronine
t4	thyroxine
ta	tension artérielle
ta	tentative autolyse 
ta	trou anionique 
tabc	tronc artériel brachio-céphalique
tap	thoraco-abdomino-pelvien
tas	tension artérielle systolique
tac/fa	tachyarythmie complète par fibrillation auriculaire
tb	tuberculose
tc	traumatisme crânien
tca	trouble du comportement alimentaire 
tca	temps de céphaline activée
tcc	traumatisme cranio-cérébral 
tcg	troubles crâniens graves
tck	temps de céphaline kaolin
tcmh	teneur corpusculaire moyenne en hémoglobine
tda	trouble du déficit attention
tdd	tableau de description
tdm	tomodensitométrie
tdr	troubles du rythme cardiaque
tec	transfert embryon congelé
ted	trouble envahissant du développement
teg	trouble état général
temp	tomographie par émission monophotonique
tep	tomographie par émission de positons
tfi	troubles  fonction intestinale
tg	triglycérides
tgmh	teneur globulaire moyenne en hémoglobine
tgo	transaminase glutamo-oxaloacétique
tgp	transaminase glutamo-pyruvique
tgv	transposition des gros vaisseaux
ths	traitement hormono-substitutif
tid	trois fois par jour
tih	thrombopénie induite par l’héparine
tipmp	tumeur intracanalaire papillaire et mucineuse du pancréas
tj	turgescence jugulaire
tm	trou maculaire
tme	test de maintien de l’éveil 
tms	test de migration survie (des spermatozoïdes)
tnf	facteur de nécrose tumorale
tnm	classification tumeur-nœuds-métastases
to	tension oculaire
toc	trouble obsessionnel compulsif
togd	transit œsogastroduodénal
tp	taux de prothrombine
tpha	dosage par hémagglutination de treponema pallidum
tpp	thrombophlébite profonde
tr	toucher rectal
trh	hormone thyréotrope
ts	tentative de suicide 
ts	temps de saignement
ts	transfusion sanguine
ta	tentative autolyse
tsh	thyréostimuline
tsa	troncs supra-aortiques
tsv	tachycardie supraventriculaire
tt / ttt	traitement
tv	tachycardie ventriculaire
tvbc	tronc veineux brachiocéphalique
tvc	tension veineuse centrale
tvm	thrombose veineuse musculaire
tvo	trouble ventilatoire obstructif
tvp	thrombose veineuse profonde
tvpd	thrombose veineuse profonde distale
tvpp	thrombose veineuse profonde proximale
tvr	trouble ventilatoire restrictif
tvs	thrombose veineuse superficielle
uaeo	unité accueil, évaluation et orientation
ucr	urétrocystographie rétrograde
ucsa	unité de consultation et de soins ambulatoires
udi	utilisateur de drogue injectable
udiv	utilisateur de drogue intraveineuse
uf	ultrafiltration
ufc	unité faisant colonie
ugd	ulcère gastroduodénal
uhcd	unité d’hospitalisation de courte durée
ui	unité internationale
uiv	urographie intraveineuse
umasp	unité mobile d’accompagnement et de soins palliatifs
unva	unité neurologique vasculaire aigu
upa	unité paquets-années
upatou	unité de proximité accueil de traitement et orientation des urgences
upr	urétéro-pyélographie rétrograde
urfi	unité de réadaptation fonctionnelle intensive
usi	unité de soins intensifs
usc	unité de surveillance continue
uspa	unité de soins post-anesthésie
utrf	unité transitoire de réadaptation fonctionnelle
v+ / v+	vomissement
vac	vacuum-assisted closure
vac	ventilation assistée contrôlée
vas	voies aériennes supérieures
vaes	voies aériennes supérieures
vads	voies aérodigestives supérieures
vat	vaccination antitétanique
vbp	voie biliaire principale
vc	volume courant
vcs	veine cave supérieure
vd	ventricule droit
vd	vélocité diastolique
vdrl	laboratoire de recherche sur la maladie vénérienne
vems	volume maximal expiré pendant la première seconde
ves	volume éjection systolique
vg	ventricule gauche
vgtd	ventricule gauche télé diastolique
vgm	volume globulaire moyen
vh	vessie hyperactive
vha	virus de l’hépatite a
vhb	virus de l’hépatite b
vhc	virus de l’hépatite c
vhd	virus de l’hépatite d
vhe	virus de l’hépatite e
vi	ventilation invasive 
vih	virus de immunodéficience humaine
vip	peptide vasoactif intestinal
vldl	lipoprotéine de très basse densité
vm	valve mitrale 
vm	ventilation mécanique
vms	vitesse maximale systolique
vng	vidéo nystagmographie
vni	ventilation non invasive
vo	varices œsophagiennes 
vo2 max	consommation maximale oxygène
vph	virus du papillome humain
vpn	valeur prédictive négative
vpp	valeur prédictive positive
vr	volume résiduel
vre	volume de réserve expiratoire
vri	volume de réserve inspiratoire
vrs	virus respiratoire syncytial
vs	vitesse de sédimentation
vs-pap	ventilation spontanée en pression aspiration positive 
vsai	ventilation spontanée avec aide inspiratoire
vtd	volume télé-diastolique
vti	intégrale temps-vitesse du flux aortique
vts	volume télé-systolique
vvc	voie veineuse centrale
vvp	voie veineuse périphérique
vsh	veines sus-hépatiques 
vsl	véhicule sanitaire léger
vv	vibrations vocales
wpw	syndrome de wolff-parkinson-white
